region,date,kWh,devices,uptime,error_rate,solar_radiation_wm2,temperature_c
Melbourne,2024-01-01,1152,32,98.9,2.98,,
Melbourne,2024-01-02,1120,31,95.78,0.29,,
Melbourne,2024-01-03,1141,32,95.1,4.85,,
Melbourne,2024-01-04,1178,33,99.69,0.0,,
Melbourne,2024-01-05,1128,36,95.7,1.46,,
Melbourne,2024-01-06,1106,36,97.28,3.93,,
Melbourne,2024-01-07,1130,30,95.23,3.04,,
Melbourne,2024-01-08,1056,34,97.25,0.07,,
Melbourne,2024-01-09,1132,31,96.52,0.49,,
Melbourne,2024-01-10,1160,33,96.21,3.42,,
Melbourne,2024-01-11,1184,32,99.55,1.29,,
Melbourne,2024-01-12,1146,33,96.56,2.6,,
Melbourne,2024-01-13,1061,36,99.21,2.25,,
Melbourne,2024-01-14,1137,31,99.47,2.99,,
Melbourne,2024-01-15,1077,31,97.7,2.93,,
Melbourne,2024-01-16,1048,30,96.4,2.71,,
Melbourne,2024-01-17,1143,30,95.08,2.12,,
Melbourne,2024-01-18,1108,30,95.99,0.03,,
Melbourne,2024-01-19,1156,32,98.95,3.03,,
Melbourne,2024-01-20,1171,31,96.79,0.58,,
Melbourne,2024-01-21,1144,31,95.48,1.85,,
Melbourne,2024-01-22,1176,35,96.63,3.65,,
Melbourne,2024-01-23,1169,30,96.91,4.86,,
Melbourne,2024-01-24,1142,32,98.8,2.81,,
Melbourne,2024-01-25,1125,30,98.55,0.55,,
Melbourne,2024-01-26,1205,33,95.54,0.16,,
Melbourne,2024-01-27,1056,33,99.54,1.25,,
Melbourne,2024-01-28,1179,34,97.7,1.02,,
Melbourne,2024-01-29,1134,32,95.81,4.65,,
Melbourne,2024-01-30,1157,34,96.48,0.53,,
Melbourne,2024-01-31,1053,33,99.46,2.7,,
Melbourne,2024-02-01,1116,31,95.61,1.78,,
Melbourne,2024-02-02,1114,32,97.14,4.09,,
Melbourne,2024-02-03,1150,30,96.52,0.82,,
Melbourne,2024-02-04,1062,30,95.6,1.69,,
Melbourne,2024-02-05,1274,36,95.84,1.09,,
Melbourne,2024-02-06,1022,35,99.86,4.81,,
Melbourne,2024-02-07,1190,35,98.48,3.56,,
Melbourne,2024-02-08,1105,30,98.17,3.4,,
Melbourne,2024-02-09,1123,34,97.45,4.93,,
Melbourne,2024-02-10,1165,32,96.85,1.21,,
Melbourne,2024-02-11,1070,35,96.84,3.16,,
Melbourne,2024-02-12,1156,30,95.75,2.54,,
Melbourne,2024-02-13,1237,34,99.29,1.63,,
Melbourne,2024-02-14,1163,36,96.13,3.23,,
Melbourne,2024-02-15,1079,33,99.7,1.99,,
Melbourne,2024-02-16,1189,32,96.71,0.57,,
Melbourne,2024-02-17,1130,36,97.71,3.48,,
Melbourne,2024-02-18,1096,30,97.58,1.3,,
Melbourne,2024-02-19,1101,30,95.47,4.49,,
Melbourne,2024-02-20,1140,30,96.39,3.5,,
Melbourne,2024-02-21,1166,32,99.28,2.02,,
Melbourne,2024-02-22,1170,35,99.7,4.87,,
Melbourne,2024-02-23,1216,31,95.8,2.74,,
Melbourne,2024-02-24,1179,30,95.88,0.09,,
Melbourne,2024-02-25,1193,35,96.63,3.73,,
Melbourne,2024-02-26,1175,30,96.54,2.71,,
Melbourne,2024-02-27,1148,32,96.84,1.33,,
Melbourne,2024-02-28,1171,32,97.17,1.75,,
Melbourne,2024-02-29,1115,30,97.88,2.46,,
Melbourne,2024-03-01,1158,32,97.86,3.84,,
Melbourne,2024-03-02,1084,30,99.97,2.35,,
Melbourne,2024-03-03,1157,33,95.08,4.64,,
Melbourne,2024-03-04,1110,30,97.76,2.86,,
Melbourne,2024-03-05,1080,30,96.58,0.85,,
Melbourne,2024-03-06,1097,30,96.97,4.22,,
Melbourne,2024-03-07,1159,36,95.7,2.59,,
Melbourne,2024-03-08,1073,31,96.61,4.24,,
Melbourne,2024-03-09,1148,36,96.47,4.05,,
Melbourne,2024-03-10,1091,32,96.28,3.06,,
Melbourne,2024-03-11,1068,35,98.98,4.45,,
Melbourne,2024-03-12,1152,36,95.14,2.89,,
Melbourne,2024-03-13,1221,32,97.33,2.71,,
Melbourne,2024-03-14,1093,34,99.19,4.3,,
Melbourne,2024-03-15,1145,34,97.61,3.85,,
Melbourne,2024-03-16,1033,33,99.83,2.29,,
Melbourne,2024-03-17,1107,35,97.7,3.19,,
Melbourne,2024-03-18,1149,33,95.66,4.85,,
Melbourne,2024-03-19,1062,31,95.39,0.13,,
Melbourne,2024-03-20,1027,34,95.4,2.14,,
Melbourne,2024-03-21,1109,31,95.78,1.25,,
Melbourne,2024-03-22,1135,35,95.47,0.91,,
Melbourne,2024-03-23,1136,34,98.69,2.77,,
Melbourne,2024-03-24,1156,35,98.65,0.24,,
Melbourne,2024-03-25,1068,35,95.07,0.58,,
Melbourne,2024-03-26,1138,34,95.47,1.56,,
Melbourne,2024-03-27,1100,35,97.17,1.99,,
Melbourne,2024-03-28,1182,31,99.75,4.43,,
Melbourne,2024-03-29,1127,34,98.42,3.08,,
Melbourne,2024-03-30,1165,36,99.72,4.34,,
Melbourne,2024-03-31,1186,33,96.94,3.22,,
Melbourne,2024-04-01,1154,30,99.06,4.1,,
Melbourne,2024-04-02,1184,31,96.03,1.37,,
Melbourne,2024-04-03,1149,33,95.5,0.09,,
Melbourne,2024-04-04,1141,30,98.28,1.93,,
Melbourne,2024-04-05,1096,31,95.12,4.07,,
Melbourne,2024-04-06,1096,34,96.74,4.68,,
Melbourne,2024-04-07,1109,33,97.09,4.84,,
Melbourne,2024-04-08,1016,32,99.95,2.06,,
Melbourne,2024-04-09,1196,31,96.25,2.9,,
Melbourne,2024-04-10,1136,33,97.14,3.75,,
Melbourne,2024-04-11,1181,30,96.19,1.89,,
Melbourne,2024-04-12,1111,30,96.6,4.48,,
Melbourne,2024-04-13,1290,30,95.27,4.79,,
Melbourne,2024-04-14,1106,33,99.75,4.75,,
Melbourne,2024-04-15,1176,32,97.47,0.42,,
Melbourne,2024-04-16,1137,33,98.36,3.76,,
Melbourne,2024-04-17,1087,36,98.91,0.57,,
Melbourne,2024-04-18,1143,32,95.59,0.71,,
Melbourne,2024-04-19,1211,31,99.18,4.33,,
Melbourne,2024-04-20,1114,31,96.98,4.46,,
Melbourne,2024-04-21,1186,31,95.41,0.42,,
Melbourne,2024-04-22,1185,36,99.54,2.96,,
Melbourne,2024-04-23,1103,33,96.88,0.42,,
Melbourne,2024-04-24,1143,32,96.24,1.65,,
Melbourne,2024-04-25,1201,35,97.46,0.06,,
Melbourne,2024-04-26,1093,33,98.84,4.11,,
Melbourne,2024-04-27,1125,36,98.73,2.92,,
Melbourne,2024-04-28,1122,30,95.41,2.64,,
Melbourne,2024-04-29,1147,34,99.82,0.06,,
Melbourne,2024-04-30,1130,32,99.6,1.26,,
Melbourne,2024-05-01,1176,32,99.85,2.62,,
Melbourne,2024-05-02,1200,36,99.98,3.48,,
Melbourne,2024-05-03,1175,32,99.51,0.23,,
Melbourne,2024-05-04,1121,33,96.68,0.85,,
Melbourne,2024-05-05,1176,33,97.32,1.77,,
Melbourne,2024-05-06,1089,30,96.3,2.27,,
Melbourne,2024-05-07,1135,36,97.68,1.55,,
Melbourne,2024-05-08,1156,34,95.67,0.38,,
Melbourne,2024-05-09,1176,35,99.75,3.63,,
Melbourne,2024-05-10,1061,35,99.33,0.23,,
Melbourne,2024-05-11,1219,36,97.06,3.89,,
Melbourne,2024-05-12,1144,32,97.97,1.9,,
Melbourne,2024-05-13,1126,35,99.15,2.85,,
Melbourne,2024-05-14,1138,34,100.0,4.98,,
Melbourne,2024-05-15,1103,34,97.93,3.63,,
Melbourne,2024-05-16,1095,34,97.25,0.65,,
Melbourne,2024-05-17,1195,32,96.37,1.04,,
Melbourne,2024-05-18,1144,31,96.79,0.57,,
Melbourne,2024-05-19,1152,31,97.49,2.38,,
Melbourne,2024-05-20,1101,30,97.76,2.8,,
Melbourne,2024-05-21,1172,35,98.96,2.95,,
Melbourne,2024-05-22,997,34,98.1,3.52,,
Melbourne,2024-05-23,1094,32,99.52,3.09,,
Melbourne,2024-05-24,1130,31,96.96,2.19,,
Melbourne,2024-05-25,1139,36,98.63,2.74,,
Melbourne,2024-05-26,1170,35,98.11,4.31,,
Melbourne,2024-05-27,1122,34,98.98,2.3,,
Melbourne,2024-05-28,1150,33,97.3,4.9,,
Melbourne,2024-05-29,1156,34,96.74,1.05,,
Melbourne,2024-05-30,1036,36,95.64,0.64,,
Melbourne,2024-05-31,1173,36,97.0,3.49,,
Melbourne,2024-06-01,1155,30,99.48,2.37,,
Melbourne,2024-06-02,1081,34,99.87,3.01,,
Melbourne,2024-06-03,1158,31,96.39,0.89,,
Melbourne,2024-06-04,1101,34,97.74,2.67,,
Melbourne,2024-06-05,1166,30,97.52,3.45,,
Melbourne,2024-06-06,1113,30,95.46,2.41,,
Melbourne,2024-06-07,1133,32,99.6,0.31,,
Melbourne,2024-06-08,1226,31,99.34,0.42,,
Melbourne,2024-06-09,1136,36,96.85,2.42,,
Melbourne,2024-06-10,1129,31,98.8,2.66,,
Melbourne,2024-06-11,1114,32,96.26,3.57,,
